Link,날짜,종가,전일비,등락률,거래량,기관순 매매량,외국인 순매매량,외국인 보유주수,외국인 보유율
https://finance.naver.com/item/frgn.nhn?code=108380,2020.11.17,"15,850",550,+3.59%,"170,925","+1,312","-25,195","213,748",2.23%
https://finance.naver.com/item/frgn.nhn?code=271980,2020.11.23,"90,300","14,700",+19.44%,"7,753,898","+16,206","-10,922","484,272",3.29%
https://finance.naver.com/item/frgn.nhn?code=271980,2020.11.20,"75,600","2,000",-2.58%,"674,851",-307,"+12,302","495,194",3.37%
https://finance.naver.com/item/frgn.nhn?code=271980,2020.11.19,"77,600","1,700",+2.24%,"1,948,403","-8,911","-16,070","482,892",3.28%
https://finance.naver.com/item/frgn.nhn?code=271980,2020.11.18,"75,900","2,000",+2.71%,"3,387,247","+7,177","-237,273","498,962",3.39%
https://finance.naver.com/item/frgn.nhn?code=271980,2020.11.17,"73,900","2,800",-3.65%,"1,589,848",-64,"+62,609","736,235",5.01%
https://finance.naver.com/item/frgn.nhn?code=103140,2020.11.23,"27,500","1,300",+4.96%,"569,548","+60,490","+134,392","3,731,237",13.31%
https://finance.naver.com/item/frgn.nhn?code=103140,2020.11.20,"26,200",150,+0.58%,"133,337","-17,892","+28,338","3,596,845",12.83%
https://finance.naver.com/item/frgn.nhn?code=103140,2020.11.19,"26,050",200,-0.76%,"180,905","-13,043","+19,554","3,570,304",12.74%
https://finance.naver.com/item/frgn.nhn?code=103140,2020.11.18,"26,250",400,-1.50%,"188,004","-32,106","+40,963","3,550,037",12.67%
https://finance.naver.com/item/frgn.nhn?code=103140,2020.11.17,"26,650",100,+0.38%,"296,959","-22,043","+11,296","3,509,539",12.52%
https://finance.naver.com/item/frgn.nhn?code=006260,2020.11.23,"63,000","3,200",+5.35%,"587,860","+44,205","+86,173","3,834,634",11.91%
https://finance.naver.com/item/frgn.nhn?code=006260,2020.11.20,"59,800",100,-0.17%,"209,082","-33,588","+1,719","3,748,461",11.64%
https://finance.naver.com/item/frgn.nhn?code=006260,2020.11.19,"59,900","1,700",-2.76%,"219,430","-24,645","-19,982","3,746,278",11.63%
https://finance.naver.com/item/frgn.nhn?code=006260,2020.11.18,"61,600","1,400",+2.33%,"372,856","+16,941","+4,085","3,765,593",11.69%
https://finance.naver.com/item/frgn.nhn?code=006260,2020.11.17,"60,200","1,800",+3.08%,"419,190","+28,378","+50,994","3,761,943",11.68%
https://finance.naver.com/item/frgn.nhn?code=074600,2020.11.23,"16,900",350,+2.11%,"592,160","+90,583","-12,602","649,212",2.47%
https://finance.naver.com/item/frgn.nhn?code=074600,2020.11.20,"16,550",150,-0.90%,"323,532","-2,852","-66,243","661,814",2.52%
https://finance.naver.com/item/frgn.nhn?code=074600,2020.11.19,"16,700",150,+0.91%,"563,035","+7,920","-21,684","728,057",2.77%
https://finance.naver.com/item/frgn.nhn?code=074600,2020.11.18,"16,550",200,-1.19%,"400,859","-6,240","-28,957","749,741",2.85%
https://finance.naver.com/item/frgn.nhn?code=074600,2020.11.17,"16,750",150,+0.90%,"1,140,997","+97,924","-105,585","778,698",2.96%
https://finance.naver.com/item/frgn.nhn?code=051910,2020.11.23,"748,000","24,000",+3.31%,"464,068","+22,967","+174,635","29,404,371",41.65%
https://finance.naver.com/item/frgn.nhn?code=051910,2020.11.20,"724,000","3,000",+0.42%,"285,042","-21,438","+86,966","29,229,736",41.41%
https://finance.naver.com/item/frgn.nhn?code=051910,2020.11.19,"721,000","12,000",+1.69%,"356,316","+6,162","+129,565","29,147,366",41.29%
