Link,날짜,종가,전일비,등락률,거래량,기관순 매매량,외국인 순매매량,외국인 보유주수,외국인 보유율
https://finance.naver.com/item/frgn.nhn?code=018250,2020.05.21,"26,550",100,+0.38%,"101,372","-8,253","+3,662","591,095",2.24%
https://finance.naver.com/item/frgn.nhn?code=018250,2020.05.20,"26,450",150,-0.56%,"104,312","-35,938","+5,350","587,358",2.22%
https://finance.naver.com/item/frgn.nhn?code=018250,2020.05.19,"26,600",300,+1.14%,"218,316","-98,587","+2,515","580,918",2.20%
https://finance.naver.com/item/frgn.nhn?code=003490,2020.05.25,"19,350",250,-1.28%,"864,301","+19,440","+43,301","13,062,797",13.77%
https://finance.naver.com/item/frgn.nhn?code=003490,2020.05.22,"19,600",500,-2.49%,"1,217,839","-45,920","-143,129","13,019,496",13.73%
https://finance.naver.com/item/frgn.nhn?code=003490,2020.05.21,"20,100",500,+2.55%,"2,526,004","+399,782","+191,193","13,162,625",13.88%
https://finance.naver.com/item/frgn.nhn?code=003490,2020.05.20,"19,600",100,+0.51%,"1,486,271","+406,300","-5,640","12,970,922",13.68%
https://finance.naver.com/item/frgn.nhn?code=003490,2020.05.19,"19,500","1,450",+8.03%,"4,285,639","+1,089,607","-6,340","12,975,950",13.68%
https://finance.naver.com/item/frgn.nhn?code=036190,2020.05.25,"27,650",100,+0.36%,"4,559",+999,+109,"1,723,165",28.72%
https://finance.naver.com/item/frgn.nhn?code=036190,2020.05.22,"27,550",100,+0.36%,"1,813",+989,-221,"1,723,056",28.72%
https://finance.naver.com/item/frgn.nhn?code=036190,2020.05.21,"27,450",0,0.00%,"2,115","+1,000",+183,"1,723,277",28.72%
https://finance.naver.com/item/frgn.nhn?code=036190,2020.05.20,"27,450",400,+1.48%,"3,127",+935,+256,"1,723,094",28.72%
https://finance.naver.com/item/frgn.nhn?code=036190,2020.05.19,"27,050",650,+2.46%,"9,142","+1,267","-2,103","1,722,838",28.71%
https://finance.naver.com/item/frgn.nhn?code=000220,2020.05.25,"12,300",450,+3.80%,"148,905",+354,"+7,861","220,760",3.47%
https://finance.naver.com/item/frgn.nhn?code=000220,2020.05.22,"11,850",250,-2.07%,"75,802",0,"-2,469","212,899",3.34%
https://finance.naver.com/item/frgn.nhn?code=000220,2020.05.21,"12,100",50,+0.41%,"70,953",+5,"+16,725","215,368",3.38%
https://finance.naver.com/item/frgn.nhn?code=000220,2020.05.20,"12,050",100,+0.84%,"61,461",+3,"+12,445","198,643",3.12%
https://finance.naver.com/item/frgn.nhn?code=000220,2020.05.19,"11,950",450,-3.63%,"166,033",-51,"-14,824","186,198",2.92%
https://finance.naver.com/item/frgn.nhn?code=007070,2020.05.25,"43,850","3,050",+7.48%,"739,867","+236,178","-62,029","13,674,058",17.76%
https://finance.naver.com/item/frgn.nhn?code=007070,2020.05.22,"40,800",100,-0.24%,"201,775","+17,985","-9,933","13,736,087",17.84%
https://finance.naver.com/item/frgn.nhn?code=007070,2020.05.21,"40,900",0,0.00%,"322,883","-30,914","-38,049","13,746,020",17.85%
https://finance.naver.com/item/frgn.nhn?code=007070,2020.05.20,"40,900",0,0.00%,"340,409","+95,750","-99,574","13,783,834",17.90%
https://finance.naver.com/item/frgn.nhn?code=007070,2020.05.19,"40,900","1,050",-2.50%,"509,828","-81,249","-34,245","13,883,408",18.03%
https://finance.naver.com/item/frgn.nhn?code=096240,2020.05.25,"19,750",200,+1.02%,"42,600","+8,129","+8,477","408,718",5.33%
https://finance.naver.com/item/frgn.nhn?code=096240,2020.05.22,"19,550",700,-3.46%,"58,060","-10,730","-2,525","400,241",5.22%
https://finance.naver.com/item/frgn.nhn?code=096240,2020.05.21,"20,250",0,0.00%,"44,071","+3,684","-3,325","402,766",5.25%
